iae_rad,voltage_effort_V2s,overshoot_rad_s,final_error_rad_s,peak_current_A,saturation_fraction,tail_speed_std_rad_s,scenario,controller,control_dt_s,noise_std_rad_s,seed
1.5620514839840358,907.3250852543616,0.0,0.09574167425493019,12.59045898183359,0.0,0.017912908302739994,hot_winding,baseline,0.005,0.0,0
0.3349823432247744,1414.6862480649474,0.0,0.00010673839547947761,13.743635655678037,0.07,0.00023622017937269894,hot_winding,tuned,0.005,0.0,0
1.5625112228038662,907.0848745897006,0.0,0.09597428571287281,12.586219918672208,0.0,0.018003795648206405,hot_winding,baseline,0.005,0.01,0
1.5620445716965687,907.6664278160387,0.0,0.09484637415045949,12.596039354196233,0.0,0.01827021055826929,hot_winding,baseline,0.005,0.01,1
1.5610403423784336,907.645155898141,0.0,0.09588648137291833,12.587581265095038,0.0,0.01811956465223962,hot_winding,baseline,0.005,0.01,2
1.5603567125593945,907.7745477761952,0.0,0.09635791402271188,12.586144206666674,0.0,0.01794772622906404,hot_winding,baseline,0.005,0.01,3
1.5640465612164165,906.7085128720545,0.0,0.09581968832699084,12.588118181243983,0.0,0.01805928811800466,hot_winding,baseline,0.005,0.01,4
0.3387614157289805,1414.6901956121142,0.0010517660017286268,0.0006625327524034663,13.749858096593965,0.072,0.0011325786659549867,hot_winding,tuned,0.005,0.01,0
0.3347648971139466,1416.9583971363395,0.002796425512092471,0.0005105109910357175,13.744855323046746,0.068,0.0012596566070400927,hot_winding,tuned,0.005,0.01,1
0.3404897184950324,1414.8037864071873,0.0048213283303513155,0.0015180516112675013,13.709558017151345,0.074,0.0022910238035602957,hot_winding,tuned,0.005,0.01,2
0.33735512451881666,1416.4750707175865,0.004680854107999899,0.0010222891488923525,13.780158428836492,0.07,0.002983983891489042,hot_winding,tuned,0.005,0.01,3
0.3395016911605369,1415.5623504337082,0.0017639906858679666,0.0004085369491261259,13.76121507998408,0.07,0.0011378462558167362,hot_winding,tuned,0.005,0.01,4
1.564350178083228,907.0999070676734,0.0,0.09690473154464174,12.579573886331259,0.0,0.01837756475022754,hot_winding,baseline,0.005,0.05,0
1.562016922546713,910.0475069752076,0.0,0.09126517373257981,12.624360060054284,0.0,0.01970672919417044,hot_winding,baseline,0.005,0.05,1
1.5569957759560211,909.9429570115411,0.0,0.09646570984487202,12.576070398140846,0.0,0.019042663575212983,hot_winding,baseline,0.005,0.05,2
1.5535776268608137,910.5583370050504,0.0,0.09882287309384308,12.570388957561887,0.0,0.018224967125884953,hot_winding,baseline,0.005,0.05,3
1.5720268701459381,905.2685949168584,0.0,0.09613174461523766,12.581847134972806,0.0,0.01866446394900906,hot_winding,baseline,0.005,0.05,4
0.35083217150632606,1446.8781292553904,0.005988550903201828,0.003253319350371875,13.722253394784637,0.081,0.005183821946329012,hot_winding,tuned,0.005,0.05,0
0.35677638967984027,1448.3957566957024,0.012343091354474423,0.0005082927967056117,13.757565074087141,0.085,0.00557695993142458,hot_winding,tuned,0.005,0.05,1
0.3577133459787044,1447.9353977778467,0.019500280257775726,0.010062491598297307,13.793323616915389,0.084,0.010040484168063493,hot_winding,tuned,0.005,0.05,2
0.3536645980194571,1450.7131695875476,0.021073205096575842,0.007491083221312533,13.868597403417006,0.081,0.014708192742315825,hot_winding,tuned,0.005,0.05,3
0.3673596789502589,1448.365959712564,0.008733208374851475,0.0028418974239434736,13.790677398179934,0.085,0.005955433267867767,hot_winding,tuned,0.005,0.05,4
1.5595584418431132,908.0490022962568,0.0,0.09567910323628548,12.59101245491101,0.0,0.017884425125907495,hot_winding,baseline,0.01,0.0,0
0.3378873128749421,1414.1657497987082,0.0,0.00011956183073347226,13.74119995430666,0.072,0.00026105460588707053,hot_winding,tuned,0.01,0.0,0
1.5591766185627092,908.1186307459125,0.0,0.09568001307451302,12.588317057997179,0.0,0.01803510025345627,hot_winding,baseline,0.01,0.01,0
1.5625033697187705,907.0029463286821,0.0,0.09626174260678533,12.589605367392338,0.0,0.017438084416573445,hot_winding,baseline,0.01,0.01,1
1.5578436550956167,908.6569063004827,0.0,0.09565951256216132,12.592936493849257,0.0,0.017646849795898766,hot_winding,baseline,0.01,0.01,2
1.5571133351694388,908.8642125923557,0.0,0.09518244039678092,12.596628252654327,0.0,0.017850355738355826,hot_winding,baseline,0.01,0.01,3
1.5613971545802394,907.1953266370551,0.0,0.09614810791880901,12.570992959395921,0.0,0.018480043641943958,hot_winding,baseline,0.01,0.01,4
0.345182290825263,1412.8181914874947,0.0024562732836783674,0.0011902192087069885,13.733041396420898,0.072,0.001830272491177658,hot_winding,tuned,0.01,0.01,0
0.34254603085241797,1414.3057316807824,0.0015181672158022241,0.0006585223001254192,13.73375409535466,0.07,0.0011965995843967693,hot_winding,tuned,0.01,0.01,1
0.34306809152034473,1414.897620011308,0.00480086023469406,0.00046433805229906255,13.729559911601829,0.068,0.00275669445944554,hot_winding,tuned,0.01,0.01,2
0.3372086527396239,1417.0606402608166,0.0028070413483576306,0.0004652517953076529,13.746679437917235,0.072,0.0024741528393315572,hot_winding,tuned,0.01,0.01,3
0.34243630505237,1413.3276963548544,0.0038401368130134284,0.005336645769036252,13.711116404430262,0.072,0.003158475023667427,hot_winding,tuned,0.01,0.01,4
1.5576493254411035,909.4679579927973,0.0,0.09568365242741939,12.58084157154266,0.0,0.018662743932479648,hot_winding,baseline,0.01,0.05,0
1.5742830812214126,903.7895056407118,0.0,0.09859230008878872,12.583977017317638,0.0,0.015671615537808263,hot_winding,baseline,0.01,0.05,1
1.5509845081056124,912.1394790449422,0.0,0.09558114986566923,12.60126799708605,0.0,0.016753641823180496,hot_winding,baseline,0.01,0.05,2
1.547332908474758,913.1215701644062,0.0,0.09319578903876302,12.61909144362761,0.0,0.017830526920133757,hot_winding,baseline,0.01,0.05,3
1.5687520055287418,904.8622787192727,0.0,0.09802412664890359,12.570627837688036,0.0,0.020906774705520638,hot_winding,baseline,0.01,0.05,4
0.3619214467540801,1450.1937589854842,0.015920996938099785,0.006054728245726948,13.861397699928819,0.082,0.00891500845586453,hot_winding,tuned,0.01,0.05,0
0.3704117279968914,1441.4208354332657,0.009945674783347735,0.002708831209416118,13.719621449574202,0.086,0.006882100257460807,hot_winding,tuned,0.01,0.05,1
0.36167835266930265,1457.1130841407323,0.02542444424719026,0.0007738294256325329,13.970103852102406,0.084,0.013295080667923011,hot_winding,tuned,0.01,0.05,2
0.35361330150250025,1453.9569667249139,0.013429208307621288,0.0019763246143709168,13.867605464804532,0.086,0.01282916017302812,hot_winding,tuned,0.01,0.05,3
0.38066725759826286,1438.7140500557666,0.018003305483425436,0.028651505744739292,13.892109264155295,0.086,0.01484388142266049,hot_winding,tuned,0.01,0.05,4
1.5546106703289124,909.4899418286467,0.0,0.09555688861441414,12.592080046086775,0.0,0.01782823709174059,hot_winding,baseline,0.02,0.0,0
0.33832966408605786,1416.109247957774,0.0,0.00013747560001597936,13.781587261405539,0.076,0.0002926749334690094,hot_winding,tuned,0.02,0.0,0
1.5531591703027863,909.9394276116918,0.0,0.09583545636853985,12.59025173151947,0.0,0.017439032546771968,hot_winding,baseline,0.02,0.01,0
1.5566771864788773,908.473093053698,0.0,0.09670946318694107,12.58217012031203,0.0,0.017864395019709278,hot_winding,baseline,0.02,0.01,1
1.5524894012823018,909.9543889547745,0.0,0.09499679466374356,12.594962304252984,0.0,0.017744196491266327,hot_winding,baseline,0.02,0.01,2
1.5495772226364513,910.9621410993763,0.0,0.09557264178296687,12.585347135573697,0.0,0.017695079840464173,hot_winding,baseline,0.02,0.01,3
1.5577231279548596,908.2522033180184,0.0,0.0956700197230308,12.585888185187708,0.0,0.017551738310541288,hot_winding,baseline,0.02,0.01,4
0.3396473452255182,1417.406803545317,0.0035998975563777957,0.0007982982311464104,13.717412576207735,0.076,0.0024831692226913137,hot_winding,tuned,0.02,0.01,0
0.34806838268455953,1415.0404631410656,0.004782865872799746,0.0006828805979219865,13.66064886077924,0.076,0.0037438640905853118,hot_winding,tuned,0.02,0.01,1
0.3403716241543461,1418.464084762633,0.008034984745685536,0.001605408306498246,13.761668854527732,0.072,0.004873943058290888,hot_winding,tuned,0.02,0.01,2
0.33880241091529595,1418.1168572219692,0.005067241331290884,0.002890216919081867,13.83660340527086,0.072,0.0024678209966032347,hot_winding,tuned,0.02,0.01,3
0.34370985219463224,1414.0854303234087,0.0036510046459574674,0.0013652818382434706,13.694575939115316,0.076,0.001991365878516066,hot_winding,tuned,0.02,0.01,4
1.5473531701982843,912.8641033723659,0.0,0.0969497273850426,12.582938473250255,0.0,0.01597085511447796,hot_winding,baseline,0.02,0.05,0
1.5649432510787442,905.3913275743308,0.0,0.10131976147704924,12.542530417213078,0.0,0.01811229259936396,hot_winding,baseline,0.02,0.05,1
1.5440043250958575,912.875545917695,0.0,0.0927564188610589,12.624415652989311,0.0,0.017807371547519157,hot_winding,baseline,0.02,0.05,2
1.5294434318665853,917.9200036915169,0.0,0.09563565445717237,12.569857917928422,0.0,0.017198723459120924,hot_winding,baseline,0.02,0.05,3
1.5701729584586182,904.2404574791143,0.0,0.09612254415749699,12.579515069759736,0.0,0.016522133734895247,hot_winding,baseline,0.02,0.05,4
0.3622764001953509,1461.348679735788,0.020045877589452754,0.009147361502233609,14.143350186799701,0.084,0.01336338001821365,hot_winding,tuned,0.02,0.05,0
0.39714190997149884,1444.2587970047089,0.028681837551252087,0.0034630410552158875,13.941312518167653,0.1,0.014939119391666639,hot_winding,tuned,0.02,0.05,1
