time_s,reference_current_A,reference_speed_rad_s,rk4_current_A,rk4_speed_rad_s
0.0,0.0,0.0,0.0,0.0
0.005,0.2388039776789413,0.00036988687249542144,0.23880397766015624,0.00036988714843750003
0.01,0.47523174316276656,0.0014594355907798324,0.4752317431255163,0.0014594361255692028
0.015,0.7093068700244564,0.003239230163930255,0.7093068699690583,0.00323923094126253
0.02,0.9410527001540041,0.005680831805346325,0.9410527000807736,0.005680832809675082
0.025,1.1704923459680083,0.00875674815794209,1.170492345877258,0.008756749374447688
0.03,1.3976486926002936,0.01244040347294796,1.3976486924923337,0.01244040488750755
0.035,1.6225444000736557,0.0167061097129251,1.6225443999487943,0.016706111312083802
0.04,1.845201905452828,0.02152903855049925,1.8452019053113697,0.021529040321442434
0.045,2.0656434249787665,0.026885194235198084,2.0656434248210145,0.02688519616572472
0.05,2.28389095618436,0.03275138730162589,2.283890956010614,0.03275138938012295
0.055,2.499966279991659,0.03910520909303345,2.499966279802216,0.03910521130845131
0.06,2.713890962790735,0.04592500707513941,2.71389096258589,0.04592500941696815
0.065,2.925686358500273,0.05318986091583314,2.9256863582803168,0.053189863374079834
0.07,3.135373610610001,0.06087955930713939,3.135373610375223,0.06087956187230627
0.075,3.3429736542050725,0.06897457750655221,3.3429736539557577,0.06897458016961565
0.08,3.548507217972498,0.07745605557554995,3.5485072177089307,0.07745605832794031
0.085,3.751994826189753,0.08630577729378613,3.7519948259122122,0.08630578012736838
0.09,3.9534568006956534,0.09550614972811358,3.9534568004044166,0.09550615263516865
0.095,4.152913262843634,0.10504018343623996,4.152913262538975,0.10504018640944691
0.1,4.350384135437516,0.11489147328543525,4.350384135119708,0.11489147631785411
0.105,4.5458891446499115,0.1250441798673146,4.545889144319221,0.12504418295236974
0.11,4.739447821923335,0.1354830114903035,4.739447821580029,0.13548301462176798
0.115,4.931079505854185,0.14619320673195937,4.931079505498525,0.14619320990393955
0.12,5.120803344059675,0.15716051753387147,5.120803343691921,0.15716052074079254
0.125,5.30863829502785,0.16837119282239435,5.308638294648257,0.1683711960589862
0.13,5.494603129950796,0.17981196263898355,5.494603129559618,0.17981196590026743
0.135,5.678716434541163,0.19147002276440453,5.678716434138651,0.19147002604567998
0.14,5.777248248620846,0.19861108826457363,5.777248248221598,0.19861109144617278
0.145,5.819245367289743,0.2026485503597395,5.819245366890705,0.2026485534588957
0.15,5.860824205683196,0.20669035647545725,5.8608242052844055,0.20669035949418432
0.155,5.901988925398192,0.2107350924930696,5.901988924999687,0.21073509543333568
0.16,5.942743646761026,0.21478140054174097,5.942743646362843,0.21478140340546947
0.165,5.983092449232445,0.2188279771415449,5.983092448834621,0.2188279799306154
0.17,6.023039371808947,0.22287357140492306,6.023039371411517,0.22287357412117215
