time_s,reference_current_A,reference_speed_rad_s,rk4_current_A,rk4_speed_rad_s
0.0,0.0,0.0,0.0,0.0
0.005,0.11940198518309963,0.0002940767142580797,0.11940198517499999,0.0002940774875
0.01,0.237615843059164,0.0011532152599987272,0.2376158430429758,0.0011532167309806817
0.015,0.3546533411427951,0.0025440916622654075,0.3546533411185403,0.0025440937610090248
0.02,0.47052613309111985,0.0044350642860313825,0.4705261330588303,0.004435066947722692
0.025,0.5852457596734456,0.006796091234608509,0.5852457596331624,0.006796094399260717
0.03,0.6988236497392842,0.009598651781308387,0.6988236496910568,0.009598655393445264
0.035,0.8112711211843692,0.012815671637642956,0.8112711211282547,0.01281567564600161
0.04,0.9225993819143122,0.016421451870943553,0.9225993818503749,0.01642145622819548
0.045,1.0328195308055712,0.020391601293402006,1.0328195307338819,0.02039160595589131
0.05,1.1419425586634169,0.024702972153216478,1.141942558584052,0.024702977080714277
0.055,1.2499793491766082,0.02933359896678122,1.2499793490896496,0.029333604122255268
0.06,1.3569406798685064,0.03426264033871305,1.3569406797740404,0.03426264568811167
0.065,1.4628372230443694,0.039470323623977906,1.462837222942487,0.0394703291360274
0.07,1.5676795467345919,0.04493789229348747,1.567679546625388,0.0449378979395022
0.075,1.671478115633668,0.05064755587129578,1.6714781155172411,0.05064756162500015
0.08,1.7742432920346707,0.05658244231795603,1.7742432919111222,0.056582448155317676
0.085,1.8759853367590509,0.0627265527407144,1.8759853366284849,0.06272655863978795
0.09,1.9767144100815826,0.06906471831703674,1.9767144099441059,0.06906472425781746
0.095,2.076440572650286,0.07558255932349846,2.076440572506007,0.07558256528778518
0.1,2.1751737864011695,0.0822664461673326,2.1751737862501983,0.08226645213859941
0.105,2.2729239154676533,0.08910346232294021,2.272923915310103,0.08910346828621642
0.11,2.369700727084546,0.09608136908043037,2.369700726920529,0.09608137502218811
0.115,2.4655138924864364,0.10318857201778911,2.4655138923160678,0.10318857792583827
0.12,2.560372987800412,0.11041408911258768,2.5603729876238064,0.11041409497597768
0.125,2.65428749493298,0.11774752041324092,2.6542874947502537,0.11774752622216873
0.13,2.7472668024511124,0.1251790191937266,2.747266802262381,0.12517902493945096
0.135,2.839320206457319,0.1326992645193882,2.8393202062627,0.13269927019414945
0.14,2.9304569114586814,0.14029943515497242,2.930456911258291,0.14029944075191741
0.145,3.0206860312297654,0.14797118474940943,3.0206860310237205,0.14797119026252178
0.15,3.110016589669363,0.15570661823503978,3.1100165894577803,0.15570662365907448
0.155,3.198457521650991,0.1634982693820269,3.198457521433987,0.1634982747124494
0.16,3.2860176738671134,0.17133907945158683,3.286017673644804,0.1713390846845163
0.165,3.37270580566703,0.1792223768944138,3.372705805439531,0.17922238202657018
0.17,3.4585305898884,0.18714185804329608,3.458530589655826,0.1871418630719507
0.17500000000000002,3.5435006136823652,0.1950915687514038,3.543500613444831,0.19509157367433339
0.18,3.6276243793322442,0.20306588693009625,3.627624379089863,0.2030658917455402
0.185,3.710910305065777,0.21105950594234762,3.7109103048186616,0.21105951064896827
0.19,3.7933667258608947,0.21906741881003008,3.793366725609157,0.2190674234068755
0.195,3.8750018942450106,0.22708490319533073,3.875001893988761,0.22708490768180034
0.2,3.9558239810878084,0.23510750711851577,3.955823980827157,0.23510751149432846
0.20500000000000002,4.035841076387535,0.24313103537609793,4.0358410761225905,0.24313103964126223
0.21,4.115061190050782,0.25115153662521644,4.115061189781652,0.251151540780003
0.215,4.193492252665764,0.25916529110170655,4.193492252392555,0.2591652951466226
0.22,4.271142116269095,0.26716879894092077,4.271142115991912,0.26716880287668643
0.225,4.348018555106066,0.27515876907187425,4.348018554825014,0.2751587728994005
0.23,4.424129266384439,0.2831321086567212,4.42412926609962,0.28313211237708963
0.23500000000000001,4.49948187102176,0.29108591304893416,4.499481870733277,0.2910859166633782
0.24,4.574083914386219,0.29901745624485765,4.574083914094171,0.29901745975474503
0.245,4.647942867031054,0.3069241818045424,4.647942866735541,0.3069241852113594
0.25,4.721066125422538,0.3148036942189415,4.721066125123657,0.314803697524278
0.255,4.793461012661553,0.3226537507016682,4.793461012359402,0.3226537539072041
