time_s,reference_current_A,reference_speed_rad_s,rk4_current_A,rk4_speed_rad_s
0.0,0.0,0.0,0.0,0.0
0.01,0.23690678812228017,0.0011509009498445967,0.23690678728,0.0011509273999999999
0.02,0.4677329433442612,0.004417205783822271,0.4677329416930003,0.004417253634135347
0.03,0.692634133006102,0.009540498529710194,0.6926341305793006,0.009540563451515265
0.04,0.9117620776502816,0.01628841694748489,0.9117620744813351,0.01628849524192414
0.05,1.1252646474258485,0.024452136098086615,1.12526464354795,0.02445222461547094
0.06,1.3332859564910386,0.033844092289999315,1.3332859519370446,0.033844188358811464
0.07,1.5359664554204826,0.044295924509651134,1.5359664502227997,0.04429602587408635
0.08,1.7334430216273637,0.05565661262037167,1.7334430158178558,0.05565671738543403
0.09,1.9258490478145238,0.06779079358607709,1.9258490414244338,0.06779090016935925
0.1,2.113314528471658,0.08057723875971363,2.113314521531544,0.08057734584908516
0.11,2.2959661444384962,0.09390747689062166,2.2959661369781807,0.09390758340713827
0.12,2.4739273455562447,0.10768454896553306,2.4739273376047746,0.10768465403095637
0.13,2.647318431431584,0.12182188231949631,2.6473184230171998,0.12182198522788243
0.14,2.8162566303392658,0.1362422726488583,2.81625662148938,0.13624237284173524
0.15,2.980856176290822,0.15087696364048314,2.980856167032002,0.15087706068519127
0.16,3.1412283842981084,0.16566481491048118,3.1412283746560687,0.16566490848129958
0.17,3.297481723861433,0.18055154983165153,3.29748171386103,0.18055163969337623
0.18,3.449721890712831,0.19548907563047446,3.4497218803780645,0.19548916162415286
0.19,3.5980518768456955,0.21043486885984244,3.598051866199712,0.21043495089040234
0.2,3.7425720388624595,0.22535142001005093,3.742572027927561,0.22535149803559285
0.21,3.8833801646724018,0.2402057316144491,3.8833801534700565,0.24020580563699717
0.22,4.0205715385718666,0.2549688647435156,4.020571527122719,0.2549689348010469
0.23,4.154239004739319,0.2696155292673551,4.154238993063208,0.2696155954269473
0.24,4.284473029177718,0.28412371370657263,4.284473017293689,0.2841237760585298
0.25,4.411361760136602,0.29847435088957375,4.4113617480629275,0.298474409542406
0.26,4.5349910870461905,0.312651015994548,4.534991074800388,0.31265107107069595
0.27,4.655444697995616,0.3266396538803211,4.655444685594466,0.3266397055125285
0.28,4.772804135787134,0.3404283329051713,4.772804123246699,0.34042838123342145
0.29,4.887148852597898,0.3540070226995479,4.887148839933544,0.35400706786848946
0.3,4.998556263280538,0.3673673936000787,4.9985562505069545,0.3673674357568755
0.31,5.107101797333397,0.3805026356707168,5.107101784464618,0.3805026749632642
0.32,5.212858949570909,0.393407295434553,5.212858936620333,0.3934073320100103
0.33,5.315899329524144,0.40607712861867645,5.315899316504553,0.40607716262227217
0.34,5.083331897697839,0.41736691329403264,5.083331885224274,0.4173669351584205
0.35000000000000003,4.715878624362022,0.4242384003488997,4.715878613490856,0.4242383715394997
0.36,4.357855065030068,0.427005007931621,4.357855055705783,0.42700493791099614
0.37,4.009019968997444,0.4261459306369005,4.009019961163913,0.42614582752622543
0.38,3.669138187458872,0.422092495496187,3.6691381810597172,0.422092366244799
0.39,3.3379805258888555,0.4152327745294261,3.337980520867755,0.41523262506425695
0.4,3.0153235993446206,0.40591575696381926,3.015323595645568,0.4059155923210023
0.41000000000000003,2.7009496906991495,0.3944551230506712,2.7009496882666735,0.39445494749136173
0.42,2.394646611803946,0.38113265742116575,2.3946466105832993,0.38113247453338805
0.43,2.096207567574039,0.3662013363113271,2.096207567511351,0.36620114909945817
0.44,1.8054310229814918,0.3498881197193635,1.8054310240239002,0.3498879306826841
0.45,1.522120572938175,0.332396476602378,1.5221205750339288,0.33239628780396124
0.46,1.2460848150438,0.3139086685444927,1.2460848181423452,0.3139084816715577
0.47000000000000003,0.977137225171041,0.29458781490800334,0.9771372292230871,0.29458763132473453
0.48,0.7150960358559711,0.27457976028905096,0.715096040813543,0.2745795810827698
0.49,0.4597841174589401,0.2540147631175519,0.4597841232754158,0.25401458913902847
0.5,0.21102886205840105,0.23300902244794708,0.21102886868853782,0.23300885434654828
0.51,-0.03133792996209024,0.21166605836476454,-0.03133792256213955,0.21166589661905624
0.52,-0.26748016067531105,0.1900779599588177,-0.2674801525479906,0.1900778049031682
0.53,-0.4975575427634302,0.16832651350138475,-0.497557533949781,0.1683263653490529
0.54,-0.7217257051071317,0.14648422224164606,-0.7217256956467978,0.1464840811047824
0.55,-0.9401362958562528,0.1246152281649705,-0.940136285787493,0.1246150940719096
0.56,-1.15293708302816,0.1027761450654526,-1.1529370723878642,0.10277601797563116
0.5700000000000001,-1.3602720526806604,0.08101681139556646,-1.3602720415043688,0.08101669121236212
0.58,-1.5622815047066239,0.05938097055000634,-1.5622814930285505,0.059380857131757975
0.59,-1.759102146297747,0.03790688551166606,-1.7591021341508053,0.03790677868110537
0.6,-1.9508671831249145,0.016627894127980443,-1.9508671705407454,0.01662779368027714
0.61,-2.1377064082826602,-0.004427089311108223,-2.137706395291661,-0.0044271836015090035
0.62,-2.319746289044992,-0.025233121062430607,-2.3197462756763465,-0.025233209436021795
