scenario,controller,plant_dt_s,electrical_net_J,copper_loss_J,friction_loss_J,load_work_J,stored_change_J,residual_J
nominal,untuned,0.001,384.3082363089678,360.07519593949286,0.3498530011435028,0.0,23.883201391787573,-1.4023456113676502e-05
nominal,untuned,0.0005,384.30824778990234,360.0751969030117,0.34985300096613026,0.0,23.88320139179043,-3.5058659371145495e-06
nominal,derived,0.001,504.4146390539416,478.942744659928,0.46696591189580916,0.0,25.004988994023318,-6.051190553790775e-05
nominal,derived,0.0005,504.41466253789247,478.9427227599542,0.46696591189608294,0.0,25.004988994023318,-1.5127981153995051e-05
nominal,optimized,0.001,502.4807018083447,477.01152555751275,0.4644034643962906,0.0,25.004864688824203,-9.190238855794064e-05
nominal,optimized,0.0005,502.48073314254566,477.01148796492953,0.4644034643960605,0.0,25.004864688824203,-2.2975604132113858e-05
load,untuned,0.001,508.321666216711,471.5086116889669,0.3130922904509595,0.06453204672865293,36.43544184384758,-1.165328308871949e-05
load,untuned,0.0005,508.32168128144025,471.50861804450795,0.31309226347688607,0.06453204291850205,36.435441843859635,-2.9133227315014665e-06
load,derived,0.001,672.4184960470092,632.8228797046211,0.45498073334454303,0.07339966024294989,39.06729491633305,-5.896753243916919e-05
load,derived,0.0005,672.4185238235141,632.8228632906313,0.4549807021004304,0.0733996563378057,39.06729491633297,-1.474188841399382e-05
load,optimized,0.001,681.3455052805305,641.7423837732335,0.4610246658312018,0.07450706141744212,39.067687370394545,-9.759034627165875e-05
load,optimized,0.0005,681.3455427156875,641.7423480506798,0.4610246346856183,0.07450705752252915,39.06768737039441,-2.4397594785341425e-05
heavy_rotor,untuned,0.001,464.72013271175217,433.0880310764147,0.32879120490859176,0.04013821428008025,31.26318615637753,-1.3940228750897177e-05
heavy_rotor,untuned,0.0005,464.72014662864814,433.08803454927505,0.3287911945914765,0.0401382134606138,31.263186156380296,-3.4850593024771115e-06
heavy_rotor,derived,0.001,613.0247060150075,579.4472670091009,0.4626027278259749,0.04442464222957296,33.070482199683916,-7.056383283554624e-05
heavy_rotor,derived,0.0005,613.0247346975727,579.4472427813594,0.4626027161311245,0.04442464136286585,33.07048219968368,-1.764096429468509e-05
heavy_rotor,optimized,0.001,610.1509372165518,576.5787614002707,0.45788601968510784,0.044810948585583654,33.06958766653194,-0.00010881852145416815
heavy_rotor,optimized,0.0005,610.1509754646418,576.5787180470226,0.45788600800227997,0.04481094772401636,33.0695876665315,-2.7204638591626917e-05
hot_winding,untuned,0.001,641.1778973232528,601.2090981189139,0.25403165808431705,0.0807708336083197,39.63400275890693,-6.046260672576409e-06
hot_winding,untuned,0.0005,641.1779211676001,601.2091174709826,0.2540316231725989,0.08077082608179112,39.63400275893328,-1.511570225432024e-06
hot_winding,derived,0.001,932.6639262434925,886.6074895772356,0.4313961363791368,0.10075579429297944,45.52434529080334,-6.055521855330426e-05
hot_winding,derived,0.0005,932.6639670391577,886.607485007502,0.43139609300143444,0.10075578666647077,45.52434529080427,-1.5138816451099046e-05
hot_winding,optimized,0.001,963.5129580283904,917.398270689788,0.44980451166075847,0.10312437432292956,45.56186561832522,-0.00010716570653102053
hot_winding,optimized,0.0005,963.5130104995471,917.3982428378578,0.449804468118479,0.10312436668882505,45.561865618325136,-2.6791443069384968e-05
higher_friction,untuned,0.001,686.7641296940667,635.9192234469664,0.36940211355903324,0.05040893056844444,50.425105489184396,-1.0286211562515746e-05
higher_friction,untuned,0.0005,686.764149083943,635.9192351507501,0.3694020873646423,0.050408928164970494,50.42510548921881,-2.571555448582785e-06
higher_friction,derived,0.001,988.0047227051099,931.1135638071764,0.5777758292519842,0.05897376717403712,56.25447113847199,-6.183696456218968e-05
higher_friction,derived,0.0005,988.0047569318285,931.1135516911637,0.5777757967646198,0.05897376467543841,56.25447113847205,-1.5459247286742084e-05
higher_friction,optimized,0.001,1007.0031490739351,950.0977567155614,0.5906366207436974,0.05967194686888135,56.255175563651456,-9.177289037154424e-05
higher_friction,optimized,0.0005,1007.0031907864309,950.0977296332518,0.5906365883771053,0.059671944380674385,56.2551755636514,-2.2943230092664635e-05
lower_speed,untuned,0.001,309.306745911127,283.9822053964509,0.11303797342092178,0.05896501344772838,25.152541983696462,-4.455889040855254e-06
lower_speed,untuned,0.0005,309.3067554054211,283.98221158668537,0.1130379454828002,0.05896500351697975,25.1525419837097,-1.1139737630116997e-06
lower_speed,derived,0.001,415.5551367615561,387.7308595130835,0.18605191235683513,0.07390535234944834,27.564347857301982,-2.7873535625388968e-05
lower_speed,derived,0.0005,415.55515291634003,387.7308548052114,0.18605187986292188,0.07390534235059872,27.564347857301982,-6.968386848882346e-06
lower_speed,optimized,0.001,433.5215827334177,405.6825132300217,0.19733606724377384,0.07680315617181735,27.56502416006476,-9.388008436062023e-05
lower_speed,optimized,0.0005,433.5216153943517,405.68247552330917,0.19733603482479564,0.07680314618147707,27.565024160064706,-2.3470028416738842e-05
