time_s,current_A,speed_rad_s,voltage_V,load_Nm
2.1750000000000003,8.754498561076781,0.867454471243451,9.139974131995704,0.0
2.18,8.758247774028344,0.8678536447698268,9.142589714493454,0.0
2.185,8.761985667510363,0.8682516076220003,9.14519750559062,0.0
2.19,8.765712276747974,0.868648363726301,9.147797526361297,0.0
2.195,8.769427636825128,0.8690439169890171,9.150389797884685,0.0
2.2,8.773131782686031,0.8694382712966864,9.152974341243159,0.0
2.205,8.77682474913658,0.8698314305163827,9.155551177520376,0.0
2.21,8.780506570845747,0.8702233984959933,9.15812032779947,0.0
2.215,8.784177282346942,0.8706141790644907,9.160681813161272,0.0
2.22,8.787836918039341,0.8710037760321968,9.1632356546826,0.0
2.225,8.791485512189178,0.8713921931910414,9.165781873434602,0.0
2.23,8.795123098931022,0.871779434314814,9.168320490481136,0.0
2.235,8.798749712269007,0.8721655031594088,9.170851526877218,0.0
2.24,8.802365386078053,0.872550403463065,9.173375003667502,0.0
2.245,8.805970154105044,0.8729341389466003,9.17589094188482,0.0
2.25,8.809564049969984,0.873316713313639,9.17839936254875,0.0
2.255,8.813147107167138,0.8736981302508345,9.180900286664254,0.0
2.2600000000000002,8.816719359066132,0.8740783934280865,9.183393735220331,0.0
2.265,8.820280838913039,0.8744575064987525,9.185879729188732,0.0
2.27,8.823831579831438,0.8748354730998557,9.188358289522709,0.0
2.275,8.827371614823448,0.8752122968522854,9.190829437155797,0.0
2.2800000000000002,8.830900976770748,0.8755879813609949,9.193293193000653,0.0
2.285,8.834419698435562,0.8759625302151935,9.195749577947906,0.0
2.29,8.837927812461635,0.8763359469885342,9.198198612865072,0.0
2.295,8.841425351375179,0.8767082352392966,9.200640318595484,0.0
2.3000000000000003,8.844912347585812,0.8770793985105663,9.203074715957259,0.0
2.305,8.848388833387455,0.8774494403304088,9.205501825742314,0.0
2.31,8.85185484095924,0.877818364212041,9.20792166871539,0.0
2.315,8.855310402366367,0.8781861736539964,9.210334265613135,0.0
2.32,8.858755549560975,0.8785528721402889,9.212739637143196,0.0
2.325,8.862190314382968,0.8789184631405706,9.21513780398335,0.0
2.33,8.86561472856084,0.8792829501102878,9.217528786780665,0.0
2.335,8.869028823712485,0.8796463364908316,9.219912606150686,0.0
2.34,8.872432631345974,0.8800086257096863,9.222289282676655,0.0
2.345,8.875826182860337,0.8803698211805743,9.224658836908747,0.0
